1564668377648,730,557
1564668377665,746,480
1564668377682,754,431
1564668377698,758,383
1564668377715,761,352
1564668377732,762,341
1564668377748,764,331
1564668377765,764,327
1564668377781,765,324
1564668377799,766,322
1564668377816,767,321
1564668377832,767,321
1564668377864,767,321
1564668377931,768,319
1564668377948,769,313
1564668377964,773,304
1564668377980,781,287
1564668377997,791,265
1564668378015,798,253
1564668378031,803,244
1564668378048,806,240
1564668378064,806,239
1564668378081,807,239
1564668378310,806,239
1564668378330,803,239
1564668378348,799,239
1564668378364,795,239
1564668378381,792,239
1564668378398,788,240
1564668378414,787,242
1564668378430,787,246
1564668378447,787,252
1564668378463,787,257
1564668378481,789,261
1564668378498,797,263
1564668378514,805,263
1564668378531,812,262
1564668378548,822,255
1564668378564,826,250
1564668378581,829,245
1564668378597,830,238
1564668378615,830,234
1564668378631,830,230
1564668378648,826,224
1564668378664,819,219
1564668378682,806,211
1564668378697,794,204
1564668378714,785,201
1564668378730,776,200
1564668378747,771,200
1564668378763,769,201
1564668378780,767,204
1564668378797,767,209
1564668378814,767,212
1564668378831,771,213
1564668378847,776,214
1564668378865,780,214
1564668378881,784,212
1564668378898,786,209
1564668378914,788,206
1564668378931,789,204
1564668378948,789,202
1564668378964,789,201
1564668378981,789,200
1564668378997,788,200
1564668379014,786,200
1564668379024,786,200
1564668379031,785,200
1564668379071,785,201
1564668379267,785,202
1564668379281,785,213
1564668379298,785,247
1564668379314,785,277
1564668379330,784,318
1564668379347,781,380
1564668379365,779,399
1564668379382,777,423
1564668379397,777,432
1564668379414,776,441
1564668379430,774,450
1564668379449,774,456
1564668379464,772,466
1564668379480,770,478
1564668379499,767,492
1564668379515,766,502
1564668379530,765,513
1564668379548,764,519
1564668379564,764,522
1564668379581,764,523
1564668379597,763,523
1564668379615,763,524
1564668379631,763,524
1564668379646,763,525
1564668379664,762,527
1564668379680,762,530
1564668379698,762,533
1564668379714,762,534
1564668379731,762,536
1564668379748,762,537
1564668379764,761,540
1564668379781,760,542
1564668379798,760,544
1564668379814,760,546
1564668379831,759,547
1564668379848,759,549
1564668379864,758,551
1564668379880,756,556
1564668379897,753,564
1564668379915,752,569
1564668379931,751,571
1564668379948,751,571
1564668379964,751,572
1564668380188,751,572
1564668380198,751,583
1564668380213,751,592
1564668380521,751,592
1564668380531,751,593
1564668380547,751,596
-1,-1,-1
1564668378152,807,239
1564668378310,806,239
1564668378330,803,239
1564668378348,799,239
1564668378364,795,239
1564668378381,792,239
1564668378398,788,240
1564668378414,787,242
1564668378430,787,246
1564668378447,787,252
1564668378463,787,257
1564668378481,789,261
1564668378498,797,263
1564668378514,805,263
1564668378531,812,262
1564668378548,822,255
1564668378564,826,250
1564668378581,829,245
1564668378597,830,238
1564668378615,830,234
1564668378631,830,230
1564668378648,826,224
1564668378664,819,219
1564668378682,806,211
1564668378697,794,204
1564668378714,785,201
1564668378730,776,200
1564668378747,771,200
1564668378763,769,201
1564668378780,767,204
1564668378797,767,209
1564668378814,767,212
1564668378831,771,213
1564668378847,776,214
1564668378865,780,214
1564668378881,784,212
1564668378898,786,209
1564668378914,788,206
1564668378931,789,204
1564668378948,789,202
1564668378964,789,201
1564668378981,789,200
1564668378997,788,200
1564668379014,786,200
1564668379024,786,200
-1,-1,-1
1564668378152,,
-1,-1,-1
1564668379026,,
