1564668374021,91,285
1564668374037,92,285
1564668374055,94,285
1564668374071,96,285
1564668374088,97,285
1564668374106,98,285
1564668374121,98,285
1564668374137,99,285
1564668374155,99,285
1564668374171,99,285
1564668374189,99,286
1564668374204,100,286
1564668374221,101,286
1564668374238,104,287
1564668374255,112,290
1564668374272,126,294
1564668374287,144,299
1564668374305,163,305
1564668374322,189,312
1564668374338,218,319
1564668374356,255,329
1564668374371,305,336
1564668374388,372,347
1564668374404,410,353
1564668374421,435,355
1564668374438,457,358
1564668374455,467,360
1564668374471,471,361
1564668374488,475,362
1564668374505,479,364
1564668374521,485,368
1564668374538,497,378
1564668374555,511,392
1564668374571,526,410
1564668374587,542,431
1564668374604,558,456
1564668374620,565,470
1564668374638,573,486
1564668374654,578,502
1564668374671,584,518
1564668374687,588,527
1564668374704,591,534
1564668374721,593,540
1564668374737,595,543
1564668374755,598,546
1564668374772,600,548
1564668374788,602,550
1564668374805,604,552
1564668374821,607,554
1564668374838,609,555
1564668374854,611,557
1564668374870,614,558
1564668375163,614,558
1564668375171,617,558
1564668375187,625,558
1564668375204,637,561
1564668375221,651,567
1564668375238,665,574
1564668375255,677,582
1564668375270,683,587
1564668375287,689,593
1564668375305,694,598
-1,-1,-1
-1,-1,-1
-1,-1,-1
